Incident ID,Incident Month,Incident Year,State,Population per State,FIPS_States,Latitude,Longitude,Population per County,FIPS_County,County Name,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Region
271363,December,2014,Louisiana,4657757,22,29.9510489,-90.08230762538903,383997,22071,Orleans Parish,0,4,0,0,0,Southeast
270036,December,2014,California,39538223,6,38.5522894,-121.3352076575167,1585055,6067,Sacramento County,0,4,0,0,0,Southwest
269679,December,2014,California,39538223,6,34.0745997,-118.0534304,10014009,6037,Los Angeles County,1,3,0,0,0,Southwest
269167,December,2014,Illinois,12812508,17,38.607625,-90.13014410791178,257400,17163,St. Clair County,1,3,0,0,0,Midwest
268598,December,2014,Missouri,6154913,29,38.613395100000005,-90.25938247338544,301578,29510,St. Louis city,1,3,0,0,0,Midwest
268282,December,2014,Michigan,10077331,26,42.33136,-83.0520837,1793561,26163,Wayne County,1,3,0,0,0,Midwest
267721,December,2014,Illinois,12812508,17,41.7031405,-87.5244731,5275541,17031,Cook County,0,5,0,0,0,Midwest
266570,December,2014,Florida,21538187,12,27.0492817,-82.39610975,434006,12115,Sarasota County,2,2,0,0,0,Southeast
268910,December,2014,Mississippi,2961279,28,31.67040459668793,-88.63580917768658,19779,28153,Wayne County,1,4,0,0,2,Southeast
266407,December,2014,Illinois,12812508,17,42.2759248,-89.09022882463708,285350,17201,Winnebago County,4,0,0,0,1,Midwest
264901,December,2014,New Jersey,9288994,34,40.66608062131141,-74.18149313043612,575345,34039,Union County,0,4,0,0,0,Northeast
263556,December,2014,Pennsylvania,13002700,42,40.23898655,-75.2950444,856553,42091,Montgomery County,6,0,1,0,0,Northeast
263376,December,2014,Florida,21538187,12,25.8231077,-80.2581472,2701767,12086,Miami-Dade County,1,4,0,0,0,Southeast
263382,December,2014,Florida,21538187,12,27.99189615,-82.52180882734832,1459762,12057,Hillsborough County,0,5,0,0,0,Southeast
262202,December,2014,Oregon,4237256,41,45.5098066,-122.71268979936896,815428,41051,Multnomah County,0,4,0,0,3,Northwest
259935,December,2014,Indiana,6785528,18,41.72978326952615,-86.30879138224338,272912,18141,St. Joseph County,0,4,0,0,0,Midwest
227011,December,2014,Missouri,6154913,29,38.613395100000005,-90.25938247338544,301578,29510,St. Louis city,1,3,0,2,0,Midwest
226983,December,2014,Virginia,8631393,51,37.1504921,-76.5309398,186247,51700,Newport News city,0,5,0,0,0,Southeast
226534,November,2014,Tennessee,6910840,47,35.07977185,-85.27909980766003,366207,47065,Hamilton County,0,5,0,0,0,Southeast
226388,November,2014,New York,20201249,36,40.65986585,-73.99956205037239,2736074,36047,Kings County,0,4,0,0,0,Northeast
226150,November,2014,New Jersey,9288994,34,40.7421254,-74.17903159685589,863728,34013,Essex County,1,3,0,0,0,Northeast
225903,November,2014,Georgia,10711908,13,33.738743,-84.35898851883468,1066710,13121,Fulton County,3,2,0,0,0,Southeast
225830,November,2014,Tennessee,6910840,47,35.1341588,-90.06293350896463,929744,47157,Shelby County,0,4,0,0,0,Southeast
226018,November,2014,Texas,29145505,48,30.6449837,-97.68955967186278,609017,48491,Williamson County,2,3,0,0,0,Southwest
225036,November,2014,California,39538223,6,37.7834355,-122.4924406,873965,6075,San Francisco County,0,6,0,0,0,Southwest
224362,November,2014,Virginia,8631393,51,37.7820156082882,-75.65140738756111,33413,51001,Accomack County,0,4,0,0,0,Southeast
224131,November,2014,Colorado,5773714,8,39.6796152,-104.937699,715522,8031,Denver County,1,4,0,0,0,Southwest
223651,November,2014,Ohio,11799448,39,41.4853003,-81.7099488,1264817,39035,Cuyahoga County,4,1,0,0,1,Midwest
223729,November,2014,Ohio,11799448,39,39.81285418003217,-89.6269522611151,196343,17167,Sangamon County,1,3,0,0,0,Midwest
223582,November,2014,Pennsylvania,13002700,42,40.44334885,-79.88672598105194,1250578,42003,Allegheny County,0,6,0,0,0,Northeast
222792,November,2014,Illinois,12812508,17,41.7031405,-87.5244731,5275541,17031,Cook County,1,3,0,0,0,Midwest
222393,November,2014,Nevada,3104614,32,36.25731,-115.07702796923064,2265461,32003,Clark County,0,4,0,0,0,Southwest
221554,November,2014,Ohio,11799448,39,41.06512076506641,-81.5377310879737,540428,39153,Summit County,1,4,0,0,1,Midwest
224746,November,2014,Texas,29145505,48,31.75195685,-106.3425575089409,865657,48141,El Paso County,0,5,0,1,0,Southwest
221347,November,2014,Missouri,6154913,29,37.2017202,-93.28077135844916,298915,29077,Greene County,4,0,0,0,1,Midwest
221577,November,2014,Florida,21538187,12,25.8231077,-80.2581472,2701767,12086,Miami-Dade County,1,3,0,0,0,Southeast
217831,November,2014,California,39538223,6,33.8842927,-117.5841437,2418185,6065,Riverside County,0,5,0,0,0,Southwest
218054,November,2014,California,39538223,6,34.0745997,-118.0534304,10014009,6037,Los Angeles County,0,4,0,0,0,Southwest
217401,November,2014,California,39538223,6,33.901958449999995,-118.26488704600791,10014009,6037,Los Angeles County,0,4,0,0,0,Southwest
216533,November,2014,California,39538223,6,37.7834355,-122.4924406,873965,6075,San Francisco County,0,4,0,0,0,Southwest
212884,October,2014,Tennessee,6910840,47,35.1341588,-90.06293350896463,929744,47157,Shelby County,0,5,0,0,0,Southeast
210363,October,2014,Washington,7705281,53,48.07766505,-122.18702996807554,827957,53061,Snohomish County,4,1,1,0,0,Northwest
209134,October,2014,New York,20201249,36,40.777439,-73.916989,2405464,36081,Queens County,0,4,0,0,1,Northeast
207687,October,2014,New York,20201249,36,40.65986585,-73.99956205037239,2736074,36047,Kings County,0,4,0,0,0,Northeast
206303,October,2014,Michigan,10077331,26,42.33136,-83.0520837,1793561,26163,Wayne County,1,3,0,0,1,Midwest
205726,October,2014,Georgia,10711908,13,33.92842566212734,-84.24498693739675,957062,13135,Gwinnett County,2,2,1,0,0,Southeast
205298,October,2014,Georgia,10711908,13,33.738743,-84.35898851883468,1066710,13121,Fulton County,0,4,0,0,0,Southeast
204310,October,2014,California,39538223,6,37.989284,-121.3223764,779233,6077,San Joaquin County,3,1,0,0,0,Southwest
204477,October,2014,Georgia,10711908,13,33.738743,-84.35898851883468,1066710,13121,Fulton County,1,3,0,0,0,Southeast
204236,October,2014,New York,20201249,36,43.13800205,-75.2294359077068,232125,36065,Oneida County,0,4,0,1,1,Northeast
202981,October,2014,Georgia,10711908,13,33.738743,-84.35898851883468,1066710,13121,Fulton County,0,4,0,0,0,Southeast
204254,October,2014,New York,20201249,36,42.6840353,-73.84777478170602,314848,36001,Albany County,4,0,0,0,0,Northeast
201052,October,2014,Michigan,10077331,26,42.33136,-83.0520837,1793561,26163,Wayne County,1,5,0,0,0,Midwest
201630,October,2014,Florida,21538187,12,30.3646523,-81.70409138358752,995567,12031,Duval County,3,1,0,0,0,Southeast
201648,October,2014,Tennessee,6910840,47,35.1341588,-90.06293350896463,929744,47157,Shelby County,2,2,0,0,0,Southeast
201502,October,2014,California,39538223,6,33.8842927,-117.5841437,2418185,6065,Riverside County,0,4,0,0,0,Southwest
198051,September,2014,South Carolina,5118425,45,32.9022852,-80.666715,38604,45029,Colleton County,1,6,0,1,2,Southeast
198527,September,2014,California,39538223,6,36.728212,-120.666589,1008654,6019,Fresno County,0,4,0,0,0,Southwest
197416,September,2014,Pennsylvania,13002700,42,39.94934045,-75.18964936995958,1603797,42101,Philadelphia County,0,4,0,0,0,Northeast
197384,September,2014,Florida,21538187,12,25.8231077,-80.2581472,2701767,12086,Miami-Dade County,0,15,0,0,0,Southeast
197287,September,2014,Missouri,6154913,29,38.613395100000005,-90.25938247338544,301578,29510,St. Louis city,0,5,0,0,0,Midwest
198064,September,2014,South Carolina,5118425,45,34.1681581,-79.7619031,137059,45041,Florence County,1,4,0,0,2,Southeast
194945,September,2014,Ohio,11799448,39,40.63031888474526,-80.54926395704777,101877,39029,Columbiana County,0,4,0,0,0,Midwest
193570,September,2014,New York,20201249,36,40.777439,-73.916989,2405464,36081,Queens County,0,4,0,0,0,Northeast
191416,September,2014,Louisiana,4657757,22,29.9510489,-90.08230762538903,383997,22071,Orleans Parish,0,5,0,0,0,Southeast
2172621,September,2014,Texas,29145505,48,27.6847553,-97.32527016663552,353178,48355,Nueces County,3,1,0,0,1,Southwest
190599,September,2014,Alaska,733391,2,61.19037895,-149.82232541071522,291247,2020,Anchorage Municipality,0,6,0,0,0,Northwest
189562,September,2014,Michigan,10077331,26,42.33136,-83.0520837,1793561,26163,Wayne County,1,7,0,0,0,Midwest
188332,September,2014,Florida,21538187,12,28.5428195,-81.3789214,1429908,12095,Orange County,0,4,0,0,0,Southeast
186488,September,2014,Georgia,10711908,13,32.809379,-83.72110383360996,157346,13021,Bibb County,0,5,0,0,0,Southeast
185430,September,2014,California,39538223,6,34.0745997,-118.0534304,10014009,6037,Los Angeles County,0,6,0,0,0,Southwest
185196,September,2014,Mississippi,2961279,28,32.329669550000006,-90.17904200242444,227742,28049,Hinds County,2,3,0,0,0,Southeast
183432,August,2014,California,39538223,6,37.7190721,-121.714259,1682353,6001,Alameda County,0,5,0,0,0,Southwest
182974,August,2014,Florida,21538187,12,28.55980932767161,-82.38927495872835,194515,12053,Hernando County,3,1,0,0,0,Southeast
181947,August,2014,Michigan,10077331,26,42.33136,-83.0520837,1793561,26163,Wayne County,1,3,0,0,0,Midwest
180018,August,2014,Illinois,12812508,17,41.7031405,-87.5244731,5275541,17031,Cook County,1,3,0,0,0,Midwest
180580,August,2014,Georgia,10711908,13,33.4908372,-82.07800136371404,206607,13245,Richmond County,1,3,0,0,0,Southeast
178425,August,2014,Tennessee,6910840,47,35.1341588,-90.06293350896463,929744,47157,Shelby County,0,5,0,0,0,Southeast
178006,August,2014,Louisiana,4657757,22,30.142583399582417,-91.81860032675662,51767,22099,St. Martin Parish,0,4,0,0,0,Southeast
175943,August,2014,Massachusetts,7029917,25,42.36286045,-71.06875296664998,797936,25025,Suffolk County,0,4,0,0,0,Northeast
